Date,Platform,Post_ID,Post Type,Likes,Comments,Shares,Impressions,Followers,Audience Age,Audience Gender,Audience Location,Sentiment,Reach,Engagement Rate
6/21/2023,Instagram,Post_32,Carousel,261,135,202,84861,150491,24,Male,Aruba,Neutral,876,133.56
7/28/2023,Facebook,Post_41,Video,567,199,268,1387,66124,39,Male,Sri Lanka,Neutral,2734,47.73
7/7/2023,Facebook,Post_54,Carousel,55,49,236,1222,10700,25,Male,Ukraine,Positive,2919,29.6
10/15/2023,Facebook,Post_61,Image,348,145,75,20727,72068,34,Male,Bhutan,Positive,3905,29.37
10/24/2023,Twitter,Post_72,Video,481,225,244,52857,10564,64,Other,British Virgin Islands,Positive,595,112.94
8/17/2023,Instagram,Post_73,Carousel,874,80,244,87150,154157,26,Male,Ukraine,Positive,4528,12.9
8/2/2023,Facebook,Post_96,Carousel,540,8,249,19704,45158,35,Female,Holy See (Vatican City State),Positive,3934,23.03
8/28/2023,Instagram,Post_56,Text,294,289,442,39937,119901,22,Other,Russian Federation,Positive,2319,47.52
7/22/2023,Facebook,Post_73,Carousel,540,191,275,48937,11301,55,Female,Dominican Republic,Positive,3752,12.98
10/19/2023,Facebook,Post_84,Text,260,156,330,94801,47908,23,Other,Denmark,Neutral,2047,24.28
3/2/2023,Facebook,Post_57,Text,165,134,292,31082,89924,39,Male,Bolivia,Neutral,3433,5.39
8/30/2023,Instagram,Post_50,Carousel,482,167,395,67779,196174,52,Other,Myanmar,Negative,2469,28.92
2/18/2023,Instagram,Post_47,Video,306,104,133,98429,64029,44,Male,Comoros,Neutral,3850,14.49
8/2/2023,Facebook,Post_47,Text,478,138,31,85186,33824,51,Other,Cyprus,Positive,3820,16.54
2/26/2023,Twitter,Post_20,Image,286,294,93,29898,42448,60,Other,Grenada,Positive,4521,5.91
2/24/2023,Facebook,Post_19,Text,314,157,300,59758,44349,61,Male,United States Minor Outlying Islands,Positive,738,102.71
1/5/2023,Facebook,Post_38,Text,728,174,287,83825,41085,20,Female,British Indian Ocean Territory (Chagos Archipelago),Positive,3584,26.31
3/11/2023,Twitter,Post_89,Video,859,118,135,25757,37473,50,Other,Cameroon,Neutral,2516,18.16
8/7/2023,Twitter,Post_100,Text,839,140,232,67514,19977,25,Male,Belize,Neutral,4313,26.15
7/17/2023,Instagram,Post_37,Carousel,259,201,101,43103,120164,28,Female,Bangladesh,Neutral,3293,25.57
7/3/2023,Instagram,Post_14,Image,798,110,310,57053,51683,22,Female,Guernsey,Neutral,3751,23.25
9/3/2023,Instagram,Post_50,Carousel,588,141,289,77000,60788,56,Female,Romania,Negative,1808,24.78
9/18/2023,Facebook,Post_63,Carousel,814,156,331,11676,63621,42,Female,Andorra,Neutral,526,145.63
3/26/2023,Twitter,Post_91,Carousel,269,226,444,3963,38243,51,Male,Ukraine,Neutral,2551,38.34
10/4/2023,Instagram,Post_76,Video,853,187,441,19605,158434,60,Female,Trinidad and Tobago,Neutral,3180,19.94
11/16/2023,Facebook,Post_66,Text,685,241,347,23467,77829,55,Female,Nauru,Neutral,3069,21.83
12/18/2023,Instagram,Post_22,Text,220,223,220,38359,39147,65,Female,Reunion,Neutral,3137,23.72
3/18/2023,Instagram,Post_71,Video,942,258,418,48730,117264,50,Other,United States Minor Outlying Islands,Neutral,4643,16.13
9/7/2023,Twitter,Post_44,Video,938,156,139,92987,5854,46,Female,Korea,Positive,2651,25.91
10/13/2023,Facebook,Post_6,Text,255,283,104,35346,91618,55,Other,Haiti,Neutral,4789,15.74
5/28/2023,Twitter,Post_55,Video,733,136,214,93072,27690,35,Male,Botswana,Neutral,3421,23.06
4/6/2023,Instagram,Post_17,Carousel,724,17,373,33321,38714,47,Other,Saint Martin,Neutral,1632,68.14
8/9/2023,Facebook,Post_23,Carousel,472,44,106,9827,24238,60,Female,Micronesia,Positive,2594,45.68
7/23/2023,Twitter,Post_99,Carousel,856,5,457,17585,21424,62,Female,Northern Mariana Islands,Positive,3685,31.34
11/2/2023,Twitter,Post_78,Image,730,222,0,35276,43184,29,Female,Italy,Positive,1783,16.55
5/28/2023,Instagram,Post_66,Image,858,23,464,78036,46797,18,Male,Cambodia,Positive,1378,89.84
3/9/2023,Twitter,Post_21,Carousel,635,97,480,21691,22021,48,Female,Brazil,Positive,1971,46.47
5/8/2023,Facebook,Post_100,Image,182,51,246,94733,75182,30,Other,Andorra,Positive,1591,82.28
3/15/2023,Instagram,Post_61,Carousel,410,109,278,24950,23730,65,Female,Ecuador,Positive,4279,35.94
8/28/2023,Twitter,Post_2,Video,420,102,449,2145,43266,41,Male,Christmas Island,Neutral,3738,36.17
8/23/2023,Instagram,Post_58,Text,903,264,125,45851,21993,31,Male,Russian Federation,Neutral,3134,32.2
3/21/2023,Instagram,Post_24,Carousel,386,215,250,5782,154328,52,Male,Peru,Neutral,1643,45.22
3/13/2023,Facebook,Post_68,Text,40,283,179,70780,47908,58,Other,Pitcairn Islands,Neutral,3690,29.51
6/22/2023,Twitter,Post_58,Video,549,281,458,54888,42837,47,Male,Cuba,Neutral,4828,8
7/24/2023,Twitter,Post_14,Text,926,39,119,95766,13238,28,Male,Comoros,Neutral,1684,71.02
10/17/2023,Instagram,Post_78,Carousel,194,194,468,33542,129612,30,Female,Saint Vincent and the Grenadines,Positive,4074,9.52
11/2/2023,Instagram,Post_71,Video,506,0,331,52591,122024,36,Other,Montserrat,Neutral,2389,22.06
9/13/2023,Twitter,Post_2,Image,902,31,58,72406,29120,43,Male,Yemen,Neutral,1889,60.46
4/17/2023,Facebook,Post_60,Video,579,101,49,87429,55897,29,Male,Monaco,Neutral,2904,33.92
6/19/2023,Facebook,Post_95,Image,589,177,57,13939,65868,53,Other,Bhutan,Neutral,805,149.32
8/9/2023,Facebook,Post_3,Image,660,84,6,50594,99978,26,Female,Lithuania,Negative,1664,30.29
3/23/2023,Twitter,Post_79,Video,157,213,132,13039,26338,34,Male,Dominica,Negative,3120,21.73
10/31/2023,Instagram,Post_79,Video,190,102,146,49592,61854,44,Female,Martinique,Neutral,1024,106.45
12/23/2023,Instagram,Post_24,Carousel,607,17,155,33854,53233,36,Female,Libyan Arab Jamahiriya,Neutral,1837,64.13
10/12/2023,Facebook,Post_93,Image,851,110,284,17526,55977,46,Female,Bolivia,Positive,1782,24.69
2/9/2023,Instagram,Post_96,Carousel,969,154,393,11355,96995,46,Male,Anguilla,Neutral,3742,26.86
1/26/2023,Facebook,Post_34,Carousel,712,214,442,50457,55267,41,Male,Martinique,Neutral,3464,27.77
12/30/2023,Facebook,Post_34,Video,162,236,299,16874,42206,18,Other,Greenland,Neutral,1758,15.24
7/31/2023,Facebook,Post_44,Image,917,179,273,64557,76415,55,Female,New Caledonia,Neutral,1343,90.32
6/25/2023,Facebook,Post_59,Video,884,125,408,94542,12495,26,Female,Seychelles,Neutral,3451,27.41
6/18/2023,Facebook,Post_47,Text,885,216,46,7668,15525,64,Female,Finland,Negative,3012,39.08
2/21/2023,Facebook,Post_97,Text,571,133,390,91354,26625,26,Other,Egypt,Negative,1046,61.28
9/18/2023,Instagram,Post_57,Image,281,139,190,65048,41862,62,Female,Norfolk Island,Negative,4160,24.69
4/14/2023,Twitter,Post_53,Carousel,864,157,434,73445,44383,57,Other,New Caledonia,Negative,715,131.05
6/22/2023,Facebook,Post_69,Video,905,43,27,41048,73464,24,Female,Saint Barthelemy,Positive,990,104.34
7/13/2023,Instagram,Post_12,Carousel,887,46,296,80150,88549,20,Male,Greece,Positive,3198,20.86
8/21/2023,Twitter,Post_20,Carousel,379,123,283,96474,9802,61,Male,Chad,Positive,3774,8.93
5/3/2023,Twitter,Post_25,Video,241,16,478,11774,31820,33,Female,Montserrat,Negative,2671,36.09
3/24/2023,Twitter,Post_39,Video,137,281,216,51964,6731,51,Male,Swaziland,Negative,526,147.72
5/4/2023,Instagram,Post_12,Carousel,370,158,260,65903,137171,37,Male,Guatemala,Negative,1124,126.69
3/7/2023,Instagram,Post_89,Carousel,92,90,227,75123,124792,57,Female,Oman,Neutral,4475,16.54
10/27/2023,Twitter,Post_78,Carousel,53,276,461,20186,27303,32,Male,Kazakhstan,Negative,1303,86.11
6/24/2023,Instagram,Post_43,Text,470,238,131,50630,108559,25,Other,Ukraine,Negative,2177,18.24
10/19/2023,Facebook,Post_79,Video,82,260,468,69337,59315,31,Other,Equatorial Guinea,Negative,4628,14.67
11/30/2023,Instagram,Post_5,Carousel,637,229,202,34998,120923,41,Male,Pitcairn Islands,Positive,2466,44.61
12/7/2023,Facebook,Post_96,Image,266,77,416,28814,98367,58,Female,Hungary,Positive,3616,28.51
1/16/2023,Instagram,Post_39,Text,669,160,303,90013,176819,36,Female,Mauritania,Positive,3191,33.91
12/17/2023,Instagram,Post_70,Text,700,252,393,51346,191088,64,Female,Belgium,Neutral,3219,20.97
3/5/2023,Facebook,Post_20,Text,547,24,59,87769,83885,24,Female,Palestinian Territory,Neutral,1543,51.91
7/23/2023,Instagram,Post_38,Image,203,27,34,63923,43452,33,Male,American Samoa,Neutral,1990,69.6
9/3/2023,Twitter,Post_34,Video,553,108,484,80062,15730,40,Other,Brunei Darussalam,Neutral,4692,25.51
11/24/2023,Facebook,Post_21,Image,31,35,52,55859,61596,41,Female,Bhutan,Neutral,4358,6.88
12/13/2023,Facebook,Post_69,Text,637,60,19,78709,49771,35,Male,United States Virgin Islands,Neutral,1186,102.53
8/3/2023,Instagram,Post_97,Image,531,140,85,81159,116018,51,Other,Kazakhstan,Neutral,3535,27.33
4/25/2023,Twitter,Post_51,Image,895,3,32,68593,47416,61,Other,Cayman Islands,Neutral,1692,16.9
12/15/2023,Facebook,Post_37,Video,257,211,474,11420,15525,35,Other,Uruguay,Negative,4982,26.11
6/4/2023,Instagram,Post_28,Carousel,286,280,238,61178,176272,49,Female,Maldives,Negative,4104,15.45
2/13/2023,Twitter,Post_32,Image,693,190,44,71036,17730,33,Male,Cameroon,Negative,2507,44.83
8/29/2023,Facebook,Post_34,Carousel,578,161,330,38798,34967,19,Female,Germany,Positive,2972,43.1
8/18/2023,Twitter,Post_13,Video,269,113,209,17084,39578,52,Other,New Zealand,Positive,4844,10.09
8/18/2023,Instagram,Post_54,Carousel,688,285,217,96766,76874,46,Male,Mali,Positive,1033,70.76
12/6/2023,Twitter,Post_42,Video,114,113,125,9428,5101,60,Female,Cape Verde,Positive,3576,22.09
12/28/2023,Instagram,Post_79,Video,150,184,141,78305,151804,42,Other,Western Sahara,Positive,2493,50.54
7/7/2023,Instagram,Post_54,Carousel,591,16,13,94080,121577,38,Male,Netherlands Antilles,Positive,4489,6.64
11/25/2023,Instagram,Post_86,Image,498,248,240,11210,178570,60,Other,New Caledonia,Positive,2025,25.48
8/25/2023,Instagram,Post_62,Image,303,257,362,28799,171529,26,Other,Liechtenstein,Positive,3633,29.34
10/28/2023,Instagram,Post_63,Video,680,239,53,47468,153197,37,Female,Yemen,Positive,3907,12.54
6/30/2023,Twitter,Post_51,Text,184,186,190,72500,12742,45,Male,Bangladesh,Negative,3976,32.37
10/8/2023,Facebook,Post_59,Video,142,9,42,49015,33872,28,Male,Cuba,Negative,3686,35.32
4/11/2023,Twitter,Post_57,Image,913,157,327,27896,36632,41,Male,Bermuda,Negative,3275,12.15
9/19/2023,Twitter,Post_32,Text,885,155,23,14716,19607,62,Other,Latvia,Neutral,2297,21.07
5/23/2023,Twitter,Post_64,Image,919,233,460,67795,39484,30,Male,Vietnam,Neutral,2698,42.44
1/15/2023,Instagram,Post_78,Image,662,135,262,16655,108007,53,Female,British Virgin Islands,Negative,3244,32.43
4/5/2023,Instagram,Post_68,Video,241,250,78,82635,88665,37,Female,Vanuatu,Negative,1718,54.02
5/1/2023,Facebook,Post_80,Image,31,236,493,96690,98375,47,Other,Croatia,Negative,1005,49.55
1/27/2023,Facebook,Post_6,Text,891,184,65,36656,86664,62,Male,Bolivia,Negative,2402,10.7
1/24/2023,Instagram,Post_2,Text,540,52,189,41446,30230,41,Female,Ukraine,Negative,767,175.23
1/18/2023,Twitter,Post_13,Image,802,193,9,74366,10755,61,Female,Belize,Neutral,1202,111.4
4/18/2023,Instagram,Post_95,Carousel,620,66,83,5624,166134,65,Other,Rwanda,Neutral,4117,26.09
9/4/2023,Instagram,Post_9,Video,279,120,444,10002,119845,53,Male,Saint Helena,Negative,3771,17.32
10/30/2023,Twitter,Post_25,Carousel,37,23,486,55924,19495,59,Male,Bahamas,Neutral,1872,26.82
2/19/2023,Twitter,Post_86,Text,32,264,109,62499,15367,30,Male,Latvia,Neutral,3562,15.38
2/5/2023,Twitter,Post_80,Text,883,70,166,93597,19505,35,Female,Reunion,Neutral,3862,38.04
1/22/2023,Instagram,Post_38,Video,941,284,251,37277,155456,50,Female,Nicaragua,Neutral,830,123.01
8/26/2023,Twitter,Post_87,Carousel,932,254,3,33943,33605,39,Female,Netherlands,Neutral,2889,45.17
9/10/2023,Twitter,Post_31,Text,378,105,474,44045,29363,22,Female,Saint Vincent and the Grenadines,Neutral,783,92.85
6/19/2023,Facebook,Post_69,Video,827,36,1,30745,92150,30,Female,Georgia,Neutral,4815,5.48
7/14/2023,Twitter,Post_25,Text,352,210,354,57280,15325,41,Male,Maldives,Neutral,4767,29.7
7/8/2023,Twitter,Post_36,Carousel,464,86,327,16114,48691,58,Male,South Africa,Neutral,2159,18.67
12/6/2023,Facebook,Post_7,Image,14,156,63,28628,63945,40,Male,Haiti,Negative,2439,42.6
11/8/2023,Twitter,Post_93,Video,211,21,295,72732,13398,53,Male,France,Neutral,4850,14.93
10/27/2023,Instagram,Post_67,Image,539,96,471,44725,138664,21,Other,Sri Lanka,Negative,3482,18.52
11/18/2023,Instagram,Post_61,Carousel,409,221,42,90378,76656,53,Other,Maldives,Neutral,3226,43.37
6/10/2023,Facebook,Post_21,Image,233,266,258,12332,25691,62,Other,Afghanistan,Neutral,1209,105.71
4/4/2023,Twitter,Post_99,Image,610,223,33,76664,39857,42,Other,Qatar,Negative,2729,18.18
7/7/2023,Instagram,Post_26,Image,137,51,332,55432,49958,46,Other,Iran,Negative,2670,26.63
5/7/2023,Twitter,Post_12,Image,630,276,437,77127,30715,30,Other,Kenya,Negative,4978,21.05
7/29/2023,Instagram,Post_28,Carousel,351,61,145,91482,50857,24,Female,Djibouti,Negative,4893,3.07
8/2/2023,Instagram,Post_46,Image,21,152,466,82574,178454,42,Male,Zambia,Negative,4413,28.67
1/15/2023,Twitter,Post_99,Carousel,716,274,311,96723,35142,21,Female,Serbia,Negative,3952,24.19
12/10/2023,Twitter,Post_73,Image,767,150,174,93219,7455,21,Female,Gabon,Negative,3715,19.35
7/14/2023,Instagram,Post_13,Video,327,181,108,84432,180911,29,Male,Afghanistan,Negative,2863,32.31
9/29/2023,Facebook,Post_14,Carousel,270,190,459,99396,87376,41,Male,Lithuania,Negative,915,111.69
6/7/2023,Facebook,Post_72,Video,763,200,146,20576,91419,45,Male,Estonia,Negative,1401,72.88
3/2/2023,Facebook,Post_73,Carousel,416,19,411,87157,94595,41,Female,Mauritius,Positive,2301,32.33
12/11/2023,Twitter,Post_9,Text,879,62,78,50164,19166,54,Female,Falkland Islands (Malvinas),Positive,3796,29.14
2/26/2023,Twitter,Post_33,Carousel,501,258,154,71131,25068,32,Other,Western Sahara,Positive,2202,26.98
10/21/2023,Facebook,Post_61,Video,468,115,117,31589,96441,26,Other,Macao,Positive,4653,12.79
5/27/2023,Facebook,Post_15,Carousel,93,79,0,81242,92042,40,Female,Bouvet Island (Bouvetoya),Neutral,2268,29.54
12/28/2023,Facebook,Post_46,Image,198,31,361,2866,85134,63,Female,Afghanistan,Neutral,4695,25.07
9/13/2023,Facebook,Post_77,Image,768,285,480,23737,94081,49,Male,Zambia,Positive,1836,37.04
12/15/2023,Facebook,Post_65,Text,449,274,116,85457,26969,24,Female,Costa Rica,Neutral,1568,65.56
7/27/2023,Facebook,Post_81,Carousel,236,113,41,19701,85419,40,Other,Costa Rica,Neutral,2985,15.04
12/20/2023,Facebook,Post_84,Carousel,810,108,146,14668,75645,47,Female,Mayotte,Neutral,3682,39.82
